,Entrez gene ID,Ensembl gene ID,Ensembl transcript ID,Transcript type,Predicted SL,Experimental evidences on SLs,Lee2017 Evidence,Shekari2017 Evidence
53,5834,ENSG00000100994,ENST00000428458,NPT,c,Yes,,M (rep3)
54,7173,ENSG00000115705,ENST00000382201,NPT,l,,,
55,10905,ENSG00000198162,ENST00000421535,NPT,m,,,
56,1103,ENSG00000070748,ENST00000395562,PT (ALTERNATIVE:2),c,,,
57,7378,ENSG00000183696,ENST00000395564,PT (PRINCIPAL:1),c,,,
58,10007,ENSG00000113552,ENST00000311337,PT (PRINCIPAL:1),c,,,C (rep1)
59,7167,ENSG00000111669,ENST00000495834,NPT,c,,,C (rep1)
60,3420,ENSG00000101365,ENST00000474315,PT (ALTERNATIVE:1),m,Yes,Inner Mitochondrial Membrane,CM (rep1)
61,51268,ENSG00000179761,ENST00000323372,PT (PRINCIPAL:1),m,,,H (rep2)
62,3032,ENSG00000138029,ENST00000537713,NPT,n,,Inner Mitochondrial Membrane,CM (rep1)
63,5264,ENSG00000107537,ENST00000479604,NPT,m,,,
64,126129,ENSG00000169169,ENST00000392518,PT (PRINCIPAL:3),c,,,M (rep2)
65,91703,ENSG00000132744,ENST00000255082,PT (PRINCIPAL:1),n,,,
66,6472,ENSG00000182199,ENST00000557487,NPT,m,Yes,Inner Mitochondrial Membrane,C (rep1)
67,114,ENSG00000155897,ENST00000522949,NPT,c,,,
68,51292,ENSG00000100938,ENST00000559910,NPT,c,,,
69,247,ENSG00000179593,ENST00000380183,PT (PRINCIPAL:1),n,,,
70,6487,ENSG00000126091,ENST00000262915,NPT,l,,,
71,1610,ENSG00000110887,ENST00000551281,NPT,x,,,
72,2181,ENSG00000123983,ENST00000392066,PT (PRINCIPAL:1),c,,,CM (rep3)
73,5130,ENSG00000161217,ENST00000431016,PT (PRINCIPAL:1),n,Yes,,
74,953,ENSG00000138185,ENST00000371207,NPT,x,,,
75,3620,ENSG00000131203,ENST00000522495,PT (PRINCIPAL:1),c,,,
76,1650,ENSG00000244038,ENST00000464364,NPT,x,,,CM (rep1)
77,5313,ENSG00000143627,ENST00000342741,NPT,m,,,C (rep1)
78,759,ENSG00000133742,ENST00000626824,NPT,n,,,
79,5152,ENSG00000160191,ENST00000380328,NPT,c,,,
80,51292,ENSG00000100938,ENST00000561035,NPT,c,,,
81,11343,ENSG00000074416,ENST00000265052,NPT,c,,,
82,686,ENSG00000169814,ENST00000437172,NPT,x,,,
83,2992,ENSG00000163754,ENST00000627418,NPT,c,,,H (rep1)
84,54995,ENSG00000151093,ENST00000420173,NPT,m,Yes,,
85,35,ENSG00000122971,ENST00000242592,PT (PRINCIPAL:1),m,Yes,,
86,8821,ENSG00000109452,ENST00000508116,PT (PRINCIPAL:1),c,,,
87,117248,ENSG00000131386,ENST00000339732,PT (PRINCIPAL:1),l,,,
88,51056,ENSG00000002549,ENST00000226299,PT (PRINCIPAL:1),m,,,C (rep1)
89,8309,ENSG00000168306,ENST00000302819,PT (PRINCIPAL:1),c,,,
90,226,ENSG00000149925,ENST00000569798,NPT,c,Yes,,C (rep1)
91,5409,ENSG00000141744,ENST00000269582,PT (PRINCIPAL:1),c,,,
92,9469,ENSG00000122863,ENST00000373115,PT (PRINCIPAL:1),c,Yes,,
93,54511,ENSG00000146151,ENST00000398661,NPT,c,,,
94,517,ENSG00000135390,ENST00000549164,PT (PRINCIPAL:1),m,,,
95,8566,ENSG00000160209,ENST00000291565,PT (PRINCIPAL:1),c,,,N (rep2)
96,4048,ENSG00000111144,ENST00000413268,NPT,m,,,C (rep1)
97,6487,ENSG00000126091,ENST00000351035,NPT,l,,,
98,55163,ENSG00000108439,ENST00000583599,NPT,c,Yes,,
99,2954,ENSG00000100577,ENST00000557053,NPT,c,Yes,,
100,3612,ENSG00000133731,ENST00000518202,NPT,c,,,
101,3163,ENSG00000103415,ENST00000406590,PT (PRINCIPAL:1),c,Yes,,CM (rep1)
102,27124,ENSG00000185133,ENST00000404390,PT (PRINCIPAL:3),n,,,
103,51205,ENSG00000162836,ENST00000392988,NPT,m,,,
104,5330,ENSG00000137841,ENST00000260402,PT (PRINCIPAL:3),n,,,
105,7389,ENSG00000126088,ENST00000636293,NPT,c,Yes,,
106,2629,ENSG00000177628,ENST00000428024,NPT,c,,,
107,132,ENSG00000156110,ENST00000541550,NPT,c,Yes,,
108,3419,ENSG00000166411,ENST00000558554,NPT,c,,Inner Mitochondrial Membrane,CM (rep1)
109,1588,ENSG00000137869,ENST00000396404,PT (PRINCIPAL:1),r,,,
110,203,ENSG00000106992,ENST00000413016,NPT,m,,,
111,51251,ENSG00000122643,ENST00000396152,PT (PRINCIPAL:3),c,,,
112,411,ENSG00000113273,ENST00000396151,NPT,g,,,
113,1588,ENSG00000137869,ENST00000396402,PT (PRINCIPAL:1),r,,,
114,7108,ENSG00000149809,ENST00000279263,PT (PRINCIPAL:1),r,Yes,,
115,2997,ENSG00000104812,ENST00000263276,NPT,n,,,M (rep3)
116,7923,ENSG00000204228,ENST00000374662,PT (PRINCIPAL:1),m,,,
117,8513,ENSG00000182333,ENST00000394375,NPT,m,,,
118,55361,ENSG00000155252,ENST00000370631,PT (PRINCIPAL:1),c,,,CM (rep1)
119,4833,ENSG00000103202,ENST00000382940,NPT,m,Yes,,
120,27165,ENSG00000135423,ENST00000539272,NPT,c,,,
121,151531,ENSG00000007001,ENST00000605860,NPT,c,,,
122,3073,ENSG00000213614,ENST00000566304,NPT,m,,,
123,8424,ENSG00000129151,ENST00000263182,PT (PRINCIPAL:1),c,,,
124,23007,ENSG00000114805,ENST00000447496,PT (ALTERNATIVE:2),n,,,
125,2137,ENSG00000012232,ENST00000220562,PT (PRINCIPAL:1),r,,,L (rep2)
126,13,ENSG00000114771,ENST00000232892,PT (PRINCIPAL:1),r,,,
127,23057,ENSG00000157064,ENST00000294868,NPT,c,,,
128,7084,ENSG00000166548,ENST00000544898,PT (PRINCIPAL:3),m,,,
129,5198,ENSG00000178921,ENST00000546020,NPT,n,,,C (rep1)
130,7360,ENSG00000169764,ENST00000497883,NPT,c,,,C (rep1)
131,4723,ENSG00000167792,ENST00000322776,PT (PRINCIPAL:3),m,Yes,,CM (rep2)
132,2987,ENSG00000143774,ENST00000366723,NPT,m,,,
133,2987,ENSG00000143774,ENST00000366722,NPT,m,,,
134,1584,ENSG00000160882,ENST00000292427,PT (PRINCIPAL:1),m,,,
135,211,ENSG00000023330,ENST00000469224,PT (PRINCIPAL:1),m,Yes,,
136,5634,ENSG00000101911,ENST00000380663,NPT,n,,,
137,3420,ENSG00000101365,ENST00000380843,PT (PRINCIPAL:4),m,Yes,Inner Mitochondrial Membrane,CM (rep1)
138,2583,ENSG00000135454,ENST00000341156,PT (PRINCIPAL:1),l,,,
139,5634,ENSG00000101911,ENST00000380668,PT (PRINCIPAL:3),c,,,C (rep1)
140,4837,ENSG00000166741,ENST00000535401,PT (PRINCIPAL:1),c,,,
141,3145,ENSG00000256269,ENST00000536813,NPT,c,,,
142,1632,ENSG00000167969,ENST00000570258,PT (ALTERNATIVE:2),m,,,C (rep3)
143,56922,ENSG00000078070,ENST00000476176,NPT,m,Yes,,CM (rep1)
144,1738,ENSG00000091140,ENST00000205402,PT (PRINCIPAL:1),m,Yes,Inner Mitochondrial Membrane,C (rep1)
145,2203,ENSG00000165140,ENST00000375326,PT (PRINCIPAL:1),c,,,
146,3613,ENSG00000141401,ENST00000589238,NPT,c,,,
147,1607,ENSG00000136267,ENST00000399322,PT (PRINCIPAL:2),c,,,
148,11282,ENSG00000161013,ENST00000518980,NPT,n,,,
149,4245,ENSG00000131446,ENST00000512695,NPT,r,,,L (rep2)
150,2135,ENSG00000162694,ENST00000450240,NPT,m,,,
151,5142,ENSG00000184588,ENST00000480109,NPT,c,,,
152,1371,ENSG00000080819,ENST00000264193,PT (PRINCIPAL:1),m,Yes,Inner Mitochondrial Membrane,CM (rep1)
153,23600,ENSG00000242110,ENST00000512079,NPT,m,,,
154,81616,ENSG00000130377,ENST00000588485,NPT,c,,,
155,10846,ENSG00000112541,ENST00000366882,PT (PRINCIPAL:3),c,,,
156,27010,ENSG00000196511,ENST00000378099,NPT,c,,,
157,10455,ENSG00000198721,ENST00000361538,NPT,n,,Inner Mitochondrial Membrane,H (rep1)
158,445,ENSG00000130707,ENST00000422569,NPT,c,Yes,,C (rep1)
159,4190,ENSG00000014641,ENST00000409908,NPT,c,Yes,,C (rep1)
160,4047,ENSG00000160285,ENST00000397728,PT (PRINCIPAL:1),c,Yes,,H (rep1)
161,79723,ENSG00000152455,ENST00000378325,NPT,n,,,
162,2643,ENSG00000131979,ENST00000491895,PT (PRINCIPAL:1),c,Yes,,
163,6448,ENSG00000181523,ENST00000326317,PT (PRINCIPAL:1),l,,,
164,586,ENSG00000060982,ENST00000539780,NPT,c,,,C (rep2)
165,23396,ENSG00000186111,ENST00000539785,PT (ALTERNATIVE:2),n,,,
166,95,ENSG00000243989,ENST00000636358,PT (PRINCIPAL:1),c,,,
167,3155,ENSG00000117305,ENST00000374490,PT (PRINCIPAL:1),m,,,M (rep2)
168,2582,ENSG00000117308,ENST00000374497,PT (PRINCIPAL:1),c,Yes,,
169,956,ENSG00000168032,ENST00000301825,PT (PRINCIPAL:1),r,,,
170,51086,ENSG00000116783,ENST00000326637,PT (PRINCIPAL:1),c,,,N (rep3)
171,271,ENSG00000116337,ENST00000358729,NPT,n,,,
172,4190,ENSG00000014641,ENST00000233114,PT (PRINCIPAL:1),c,Yes,,C (rep1)
173,8372,ENSG00000186792,ENST00000359051,NPT,n,,,
174,217,ENSG00000111275,ENST00000416293,NPT,m,,Inner Mitochondrial Membrane,CM (rep1)
175,23007,ENSG00000114805,ENST00000340059,PT (ALTERNATIVE:2),n,,,
176,4522,ENSG00000100714,ENST00000555709,NPT,m,,,C (rep3)
177,132158,ENSG00000168237,ENST00000473032,NPT,m,,,
178,7083,ENSG00000167900,ENST00000588734,NPT,c,,,N (rep3)
179,2519,ENSG00000001036,ENST00000002165,PT (PRINCIPAL:1),r,,,
180,506,ENSG00000110955,ENST00000552959,NPT,m,Yes,Inner Mitochondrial Membrane,C (rep1)
181,622,ENSG00000161267,ENST00000358186,PT (PRINCIPAL:1),m,Yes,,M (rep3)
182,220,ENSG00000184254,ENST00000329841,PT (PRINCIPAL:1),c,Yes,,
183,80142,ENSG00000148334,ENST00000338961,PT (PRINCIPAL:1),m,Yes,Inner Mitochondrial Membrane,M (rep1)
184,218,ENSG00000108602,ENST00000457500,PT (PRINCIPAL:1),m,,,H (rep2)
185,6120,ENSG00000197713,ENST00000452025,NPT,c,,,
186,8871,ENSG00000078269,ENST00000355585,PT (PRINCIPAL:2),n,,,
187,64087,ENSG00000131844,ENST00000340941,PT (PRINCIPAL:1),m,Yes,Inner Mitochondrial Membrane,M (rep1)
188,2650,ENSG00000187210,ENST00000442371,PT (PRINCIPAL:1),x,,,
189,523,ENSG00000114573,ENST00000273398,PT (PRINCIPAL:1),c,Yes,,C (rep1)
190,5832,ENSG00000059573,ENST00000371221,PT (ALTERNATIVE:1),m,Yes,Inner Mitochondrial Membrane,CM (rep1)
191,1606,ENSG00000065357,ENST00000394147,PT (PRINCIPAL:1),c,,,
192,5832,ENSG00000059573,ENST00000371224,PT (PRINCIPAL:3),m,Yes,Inner Mitochondrial Membrane,CM (rep1)
193,5728,ENSG00000171862,ENST00000371953,PT (PRINCIPAL:1),c,Yes,,
194,2618,ENSG00000159131,ENST00000381839,PT (PRINCIPAL:1),c,,,C (rep1)
195,5743,ENSG00000073756,ENST00000367468,PT (PRINCIPAL:1),m,,,
196,5289,ENSG00000078142,ENST00000398870,NPT,c,,,CM (rep3)
197,2618,ENSG00000159131,ENST00000381831,PT (PRINCIPAL:1),c,,,C (rep1)
198,5321,ENSG00000116711,ENST00000367466,PT (PRINCIPAL:1),n,,,
199,4199,ENSG00000065833,ENST00000369705,PT (PRINCIPAL:1),c,Yes,,
200,8877,ENSG00000176170,ENST00000592299,PT (PRINCIPAL:3),m,,,
201,570,ENSG00000136881,ENST00000259407,PT (PRINCIPAL:1),n,,,
202,51196,ENSG00000138193,ENST00000371375,PT (ALTERNATIVE:2),n,,,
203,3988,ENSG00000107798,ENST00000456827,NPT,c,,,
204,5625,ENSG00000100033,ENST00000357068,PT (PRINCIPAL:3),m,,,CM (rep1)
205,27115,ENSG00000171408,ENST00000308191,PT (PRINCIPAL:1),n,,,
206,5340,ENSG00000122194,ENST00000308192,PT (PRINCIPAL:1),c,,,
207,1854,ENSG00000128951,ENST00000559935,NPT,c,,,C (rep1)
208,55191,ENSG00000172890,ENST00000530055,NPT,n,,,
209,3162,ENSG00000100292,ENST00000216117,PT (PRINCIPAL:1),x,,,
210,124975,ENSG00000167741,ENST00000574154,PT (PRINCIPAL:1),c,,,
211,270,ENSG00000116748,ENST00000369538,PT (ALTERNATIVE:2),m,,,
212,10720,ENSG00000213759,ENST00000446444,PT (PRINCIPAL:1),x,,,
213,8394,ENSG00000143398,ENST00000368888,PT (ALTERNATIVE:2),n,,,L (rep1)
214,11164,ENSG00000165609,ENST00000537776,PT (PRINCIPAL:1),n,Yes,,
215,84803,ENSG00000138678,ENST00000611707,PT (PRINCIPAL:1),r,,,
216,123745,ENSG00000188089,ENST00000399518,PT (PRINCIPAL:1),c,,,
217,2132,ENSG00000151348,ENST00000343631,PT (PRINCIPAL:1),n,,,
218,10768,ENSG00000168710,ENST00000393614,NPT,n,,,C (rep3)
219,318,ENSG00000164978,ENST00000379158,PT (PRINCIPAL:1),m,,,
220,318,ENSG00000164978,ENST00000379155,PT (PRINCIPAL:1),m,,,
221,5137,ENSG00000154678,ENST00000321453,PT (ALTERNATIVE:1),c,,,
222,43,ENSG00000087085,ENST00000412389,PT (PRINCIPAL:1),l,,,
223,124583,ENSG00000171302,ENST00000302345,PT (PRINCIPAL:1),m,,,
224,53905,ENSG00000137857,ENST00000389037,PT (PRINCIPAL:1),r,,,
225,1178,ENSG00000105205,ENST00000221804,PT (PRINCIPAL:1),c,,,
226,54,ENSG00000102575,ENST00000433365,PT (PRINCIPAL:1),r,,,
227,498,ENSG00000152234,ENST00000593152,NPT,c,,Inner Mitochondrial Membrane,C (rep1)
228,10840,ENSG00000144908,ENST00000452905,NPT,c,Yes,,
229,4668,ENSG00000198951,ENST00000396398,PT (PRINCIPAL:1),x,,,
230,2762,ENSG00000112699,ENST00000530927,PT (ALTERNATIVE:2),c,,,
231,8435,ENSG00000167780,ENST00000551896,NPT,r,,,
232,3707,ENSG00000143772,ENST00000429204,PT (PRINCIPAL:1),n,Yes,,
233,51071,ENSG00000023697,ENST00000428559,PT (PRINCIPAL:1),c,,,
234,79723,ENSG00000152455,ENST00000433779,NPT,n,,,
235,6818,ENSG00000261052,ENST00000563322,PT (ALTERNATIVE:1),c,,,
236,3948,ENSG00000166796,ENST00000535809,NPT,c,,,C (rep1)
237,8869,ENSG00000115525,ENST00000377332,NPT,c,,,
238,29880,ENSG00000120697,ENST00000443765,NPT,r,,,
239,10606,ENSG00000128050,ENST00000505164,NPT,c,Yes,,C (rep1)
240,6839,ENSG00000101945,ENST00000376687,PT (PRINCIPAL:1),n,,,
241,526,ENSG00000147416,ENST00000276390,PT (PRINCIPAL:1),m,,,C (rep1)
242,762,ENSG00000167434,ENST00000590203,NPT,x,,,
243,131,ENSG00000196344,ENST00000209665,NPT,c,Yes,,
244,5289,ENSG00000078142,ENST00000262039,PT (PRINCIPAL:1),c,,,CM (rep3)
245,5168,ENSG00000136960,ENST00000427067,NPT,r,,,
246,506,ENSG00000110955,ENST00000262030,PT (PRINCIPAL:1),m,Yes,Inner Mitochondrial Membrane,C (rep1)
247,6389,ENSG00000073578,ENST00000264932,PT (PRINCIPAL:1),m,Yes,Inner Mitochondrial Membrane,CM (rep1)
248,5208,ENSG00000123836,ENST00000367079,NPT,c,,,
249,2203,ENSG00000165140,ENST00000414122,NPT,c,,,
250,81616,ENSG00000130377,ENST00000586696,PT (PRINCIPAL:3),c,,,
251,2538,ENSG00000131482,ENST00000253801,PT (PRINCIPAL:1),r,,,
252,1119,ENSG00000110721,ENST00000265689,PT (PRINCIPAL:4),c,,,
253,6646,ENSG00000057252,ENST00000367619,PT (PRINCIPAL:1),r,Yes,,
254,1854,ENSG00000128951,ENST00000559540,NPT,c,,,C (rep1)
255,166012,ENSG00000180767,ENST00000319340,PT (PRINCIPAL:1),g,,,
256,26290,ENSG00000130035,ENST00000252318,PT (PRINCIPAL:1),r,,,
257,10195,ENSG00000214160,ENST00000445626,NPT,r,,,CM (rep3)
258,5144,ENSG00000113448,ENST00000405755,NPT,m,,,
259,847,ENSG00000121691,ENST00000241052,PT (PRINCIPAL:1),c,Yes,,
260,9487,ENSG00000108474,ENST00000581006,NPT,r,,,
261,7358,ENSG00000109814,ENST00000316423,PT (PRINCIPAL:1),c,,,C (rep1)
262,4833,ENSG00000103202,ENST00000450036,NPT,c,,,
263,60496,ENSG00000149313,ENST00000524411,NPT,m,Yes,,
264,8908,ENSG00000056998,ENST00000381157,NPT,n,Yes,,
265,150763,ENSG00000186281,ENST00000453542,NPT,n,,,
266,1606,ENSG00000065357,ENST00000551156,PT (PRINCIPAL:1),c,,,
267,9517,ENSG00000100596,ENST00000554901,NPT,m,Yes,,H (rep1)
268,4351,ENSG00000178802,ENST00000569233,NPT,m,,,
269,1376,ENSG00000157184,ENST00000371486,PT (PRINCIPAL:1),m,Yes,,CM (rep1)
270,89869,ENSG00000139151,ENST00000540421,NPT,c,,,
271,443,ENSG00000108381,ENST00000456349,PT (PRINCIPAL:1),c,,,
272,2806,ENSG00000125166,ENST00000434819,NPT,m,,Inner Mitochondrial Membrane,C (rep1)
273,55811,ENSG00000143199,ENST00000545172,NPT,r,,,
274,6916,ENSG00000059377,ENST00000448866,PT (PRINCIPAL:1),r,,,
275,6484,ENSG00000110080,ENST00000530591,PT (PRINCIPAL:3),r,,,
276,5051,ENSG00000158006,ENST00000441420,NPT,m,,,
277,410,ENSG00000100299,ENST00000395621,PT (PRINCIPAL:1),l,,,
278,230,ENSG00000109107,ENST00000395319,NPT,c,Yes,,C (rep1)
279,6319,ENSG00000099194,ENST00000370355,PT (PRINCIPAL:1),c,,,H (rep3)
280,765,ENSG00000131686,ENST00000377436,PT (ALTERNATIVE:2),l,,,
281,5837,ENSG00000068976,ENST00000377432,NPT,c,,,M (rep3)
282,3163,ENSG00000103415,ENST00000219700,PT (PRINCIPAL:1),c,Yes,,CM (rep1)
283,587,ENSG00000105552,ENST00000316273,PT (PRINCIPAL:1),m,,,
284,1788,ENSG00000119772,ENST00000402667,PT (ALTERNATIVE:1),c,,,C (rep1)
285,8704,ENSG00000117411,ENST00000356836,PT (PRINCIPAL:1),r,,,
286,2530,ENSG00000033170,ENST00000358307,NPT,m,,,
287,3034,ENSG00000084110,ENST00000541929,NPT,m,,,
288,6648,ENSG00000112096,ENST00000452684,NPT,m,,,
289,8974,ENSG00000072682,ENST00000401867,PT (PRINCIPAL:3),r,Yes,,
290,3028,ENSG00000072506,ENST00000375304,NPT,m,,Inner Mitochondrial Membrane,C (rep1)
291,5728,ENSG00000171862,ENST00000472832,NPT,c,Yes,,
292,3704,ENSG00000125877,ENST00000380113,PT (PRINCIPAL:1),c,Yes,,
293,127,ENSG00000198099,ENST00000505590,NPT,c,,,
294,178,ENSG00000162688,ENST00000361915,PT (PRINCIPAL:1),c,Yes,,M (rep2)
295,2820,ENSG00000115159,ENST00000409674,PT (PRINCIPAL:1),m,,Inner Mitochondrial Membrane,CM (rep1)
296,8877,ENSG00000176170,ENST00000590959,PT (ALTERNATIVE:2),m,,,
297,11181,ENSG00000118094,ENST00000397925,NPT,c,,,
298,124975,ENSG00000167741,ENST00000573591,NPT,c,,,
299,8974,ENSG00000072682,ENST00000431054,NPT,m,,,
300,2673,ENSG00000198380,ENST00000357308,NPT,m,,,C (rep1)
301,5148,ENSG00000185527,ENST00000571004,PT (PRINCIPAL:1),c,,,
302,2618,ENSG00000159131,ENST00000381815,PT (PRINCIPAL:1),c,,,C (rep1)
303,6484,ENSG00000110080,ENST00000534457,NPT,r,,,
304,8654,ENSG00000138735,ENST00000354960,PT (PRINCIPAL:3),n,,,
305,10020,ENSG00000159921,ENST00000447283,NPT,m,,,
306,5144,ENSG00000113448,ENST00000340635,NPT,c,Yes,,
307,3157,ENSG00000112972,ENST00000325110,PT (PRINCIPAL:1),c,Yes,,C (rep1)
308,95,ENSG00000243989,ENST00000404366,PT (PRINCIPAL:1),c,,,
309,9060,ENSG00000198682,ENST00000456849,NPT,n,,,
310,10999,ENSG00000167114,ENST00000300456,PT (PRINCIPAL:1),m,,,
311,54578,ENSG00000167165,ENST00000305139,PT (PRINCIPAL:1),x,,,
312,79896,ENSG00000185875,ENST00000376356,PT (PRINCIPAL:1),c,Yes,,
313,1548,ENSG00000255974,ENST00000301141,PT (PRINCIPAL:1),r,,,
314,5050,ENSG00000079462,ENST00000595530,NPT,c,,,C (rep2)
315,6716,ENSG00000277893,ENST00000622030,PT (PRINCIPAL:1),r,,,
316,2819,ENSG00000167588,ENST00000301149,PT (PRINCIPAL:1),c,,,
317,93100,ENSG00000147813,ENST00000449291,PT (PRINCIPAL:1),n,Yes,,
318,790,ENSG00000084774,ENST00000458503,NPT,c,,,C (rep1)
319,4833,ENSG00000103202,ENST00000454619,NPT,c,,,
320,203,ENSG00000106992,ENST00000373156,PT (PRINCIPAL:1),c,Yes,,C (rep1)
321,10020,ENSG00000159921,ENST00000539208,NPT,c,Yes,,
322,7386,ENSG00000169021,ENST00000304863,PT (PRINCIPAL:1),m,Yes,Inner Mitochondrial Membrane,C (rep3)
323,132789,ENSG00000163281,ENST00000509756,PT (ALTERNATIVE:1),c,,,C (rep1)
324,51005,ENSG00000162066,ENST00000569879,NPT,c,Yes,,
325,178,ENSG00000162688,ENST00000370165,PT (PRINCIPAL:1),c,Yes,,M (rep2)
326,349565,ENSG00000163864,ENST00000339837,NPT,c,,,
327,80142,ENSG00000148334,ENST00000449878,NPT,m,Yes,Inner Mitochondrial Membrane,M (rep2)
328,5973,ENSG00000102032,ENST00000393700,PT (PRINCIPAL:1),c,,,
329,5723,ENSG00000146733,ENST00000275605,PT (PRINCIPAL:1),c,Yes,,
330,873,ENSG00000159228,ENST00000530908,NPT,n,Yes,,C (rep1)
331,9514,ENSG00000128242,ENST00000402321,PT (PRINCIPAL:1),r,,,
332,56848,ENSG00000063176,ENST00000599029,PT (ALTERNATIVE:2),n,,,
333,65263,ENSG00000104524,ENST00000433751,PT (ALTERNATIVE:2),n,,,
334,83549,ENSG00000130717,ENST00000372208,NPT,c,,,
335,7173,ENSG00000115705,ENST00000345913,PT (PRINCIPAL:1),l,,,
336,27068,ENSG00000138777,ENST00000354147,NPT,m,Yes,,
337,51056,ENSG00000002549,ENST00000606142,NPT,c,Yes,,C (rep1)
338,5150,ENSG00000205268,ENST00000401827,PT (ALTERNATIVE:1),n,,,
339,4846,ENSG00000164867,ENST00000484524,NPT,m,,,
340,4357,ENSG00000128309,ENST00000401419,PT (PRINCIPAL:1),m,Yes,Inner Mitochondrial Membrane,
341,97,ENSG00000119640,ENST00000238618,PT (PRINCIPAL:1),c,Yes,,
